# HB Z M OV QHEL tau_He tau_H fname
0 0.0005 6.200 0.30 0.192 5.826e+06 5.234e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M6.20.PMS
0 0.0005 6.400 0.30 0.242 5.388e+06 4.927e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M6.40.PMS
0 0.0005 7.000 0.30 0.281 4.348e+06 4.154e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M7.00.PMS
0 0.0005 8.000 0.30 0.294 4.057e+06 3.274e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M8.00.PMS
0 0.0005 9.000 0.30 0.299 3.128e+06 2.684e+07 OV0.3_Z0.0005_Y0.249/Z0.0005Y0.249OUTA1.74_F7_M9.00.PMS
0 0.001 0.100 0.00 0.000 0 3.001e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.10.PMS
0 0.001 0.120 0.00 0.000 0 3.012e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.12.PMS
0 0.001 0.140 0.00 0.000 0 3.018e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.14.PMS
0 0.001 0.160 0.00 0.000 0 3.004e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.16.PMS
0 0.001 0.200 0.00 0.000 0 2.974e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.20.PMS
0 0.001 0.250 0.00 0.000 0 3.002e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.25.PMS
0 0.001 0.300 0.00 0.000 0 2.999e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.30.PMS
0 0.001 0.350 0.00 0.000 0 2.986e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.35.PMS
0 0.001 0.400 0.00 0.000 0 3.009e+10 OV0.3_Z0.001_Y0.25/Z0.001Y0.25OUTA1.74_F7_M.40.PMS
